,Name,Star_Rating,Total_Reviews,Reviews,Address,Specialty,Review_Length
0,   Midtown Dental Group,5.0,124,general dentistry  oral surgery  cosmetic dentistry read more,241 W 37th St,"General Dentistry, Cosmetic Dentists, Dental Hygienists",61
1,   Tribeca Dental Design,4.5,129, was worth it  Staff is friendly and the clinic is clean and well kept  I was happy with my cleaning  I had a slight issue with my billing and when I reached out to them  they were quick to explain it to me and  read more,144 Chambers St,General Dentistry,221
2,   Lumia Dental,5.0,38, and professional  Not many people can say that they d like nothing more than to go out and have a beer with their dentist  I count myself lucky enough to be able to say that I m one  read more,160 Broadway,"Cosmetic Dentists, General Dentistry, Pediatric Dentists",193
3,   iSmile Dental,4.5,87,I been different dentist but overall this is my best experience   the treatment from the beginning to the end you feel secure in the right hands doctor Jacob Donohue a professional  read more,144 N 8th St,"Cosmetic Dentists, General Dentistry, Orthodontists",191
4,   Stanton E Young  DMD,5.0,33,I am SO happy I found this place  I usually hate going to the dentist but the hygienist who cleaned my teeth was a sweetheart and made sure to not cause any pain or discomfort  Dr   read more,14 E 4th St,"Cosmetic Dentists, General Dentistry, Pediatric Dentists",191
5,   Bowery Dental,5.0,43,Some preface  Another dentist drilled deep into my teeth  exposing the nerve  and then said I needed a root canal  While it was unclear from what she said whether she caused the  read more,145 Canal St,"General Dentistry, Cosmetic Dentists, Pediatric Dentists",188
6,   Sunny Dental Care,5.0,28,I switched to Bowery Dental after my previous dentist gave me an overlay that cracked twice within a short period of time  What I liked most about this practice that the practice  read more,101 Lafayette St,"General Dentistry, Cosmetic Dentists, Periodontists",189
7,   PDADental,4.5,209,I went to Dr  Eng for a sleep apnea retainer  and immediately broke up with my last dentist  Dr  Eng is smart  talented and up to the minute on the latest innovations in dentistry   read more,150 Broadway,"Cosmetic Dentists, General Dentistry, Oral Surgeons",191
8,   Grand Street Dental,5.0,24, Invisalign and I m so far very happy with that experience as well  The facility is always clean and you ll never wait more than   minutes for your appointment  Safe to say I love this place as much as anyone  read more,57 Grand St,"Cosmetic Dentists, General Dentistry, Oral Surgeons",219
9,    Brooklyn Heights Dental,5.0,22,I had a great experience at this location  The staff is very welcoming and friendly  The doctor took the time to answer all my questions and concerns  Highly recommend this dentist  read more,44 Court St,"Cosmetic Dentists, General Dentistry, Periodontists",191
